Edad;Sexo;Periodo;Total
Total;Ambos sexos;2021;14,78
Total;Ambos sexos;2020;15,53
Total;Ambos sexos;2019;14,1
Total;Ambos sexos;2018;15,25
Total;Ambos sexos;2017;17,22
Total;Ambos sexos;2016;19,63
Total;Ambos sexos;2015;22,06
Total;Ambos sexos;2014;24,44
Total;Ambos sexos;2013;26,09
Total;Ambos sexos;2012;24,79
Total;Ambos sexos;2011;21,39
Total;Ambos sexos;2010;19,86
Total;Ambos sexos;2009;17,86
Total;Ambos sexos;2008;11,25
Total;Ambos sexos;2007;8,23
Total;Ambos sexos;2006;8,45
Total;Hombres;2021;13,05
Total;Hombres;2020;13,87
Total;Hombres;2019;12,45
Total;Hombres;2018;13,72
Total;Hombres;2017;15,66
Total;Hombres;2016;18,12
Total;Hombres;2015;20,77
Total;Hombres;2014;23,6
Total;Hombres;2013;25,6
Total;Hombres;2012;24,58
Total;Hombres;2011;21,04
Total;Hombres;2010;19,57
Total;Hombres;2009;17,64
Total;Hombres;2008;10,05
Total;Hombres;2007;6,41
Total;Hombres;2006;6,35
Total;Mujeres;2021;16,71
Total;Mujeres;2020;17,43
Total;Mujeres;2019;15,99
Total;Mujeres;2018;17,02
Total;Mujeres;2017;19,03
Total;Mujeres;2016;21,38
Total;Mujeres;2015;23,55
Total;Mujeres;2014;25,43
Total;Mujeres;2013;26,67
Total;Mujeres;2012;25,03
Total;Mujeres;2011;21,81
Total;Mujeres;2010;20,22
Total;Mujeres;2009;18,13
Total;Mujeres;2008;12,84
Total;Mujeres;2007;10,7
Total;Mujeres;2006;11,34
De 16 a 19 años;Ambos sexos;2021;50,83
De 16 a 19 años;Ambos sexos;2020;54,33
De 16 a 19 años;Ambos sexos;2019;45,23
De 16 a 19 años;Ambos sexos;2018;49,74
De 16 a 19 años;Ambos sexos;2017;54,54
De 16 a 19 años;Ambos sexos;2016;60,01
De 16 a 19 años;Ambos sexos;2015;67,27
De 16 a 19 años;Ambos sexos;2014;68,56
De 16 a 19 años;Ambos sexos;2013;73,98
De 16 a 19 años;Ambos sexos;2012;72,55
De 16 a 19 años;Ambos sexos;2011;64,02
De 16 a 19 años;Ambos sexos;2010;61,26
De 16 a 19 años;Ambos sexos;2009;55,23
De 16 a 19 años;Ambos sexos;2008;39,38
De 16 a 19 años;Ambos sexos;2007;28,72
De 16 a 19 años;Ambos sexos;2006;29,11
De 16 a 19 años;Hombres;2021;49,96
De 16 a 19 años;Hombres;2020;50,11
De 16 a 19 años;Hombres;2019;42,82
De 16 a 19 años;Hombres;2018;49,72
De 16 a 19 años;Hombres;2017;54,14
De 16 a 19 años;Hombres;2016;58,81
De 16 a 19 años;Hombres;2015;64,72
De 16 a 19 años;Hombres;2014;65,75
De 16 a 19 años;Hombres;2013;72,29
De 16 a 19 años;Hombres;2012;72,03
De 16 a 19 años;Hombres;2011;64,41
De 16 a 19 años;Hombres;2010;60,12
De 16 a 19 años;Hombres;2009;54,76
De 16 a 19 años;Hombres;2008;35,77
De 16 a 19 años;Hombres;2007;23,94
De 16 a 19 años;Hombres;2006;23,83
De 16 a 19 años;Mujeres;2021;51,93
De 16 a 19 años;Mujeres;2020;60,97
De 16 a 19 años;Mujeres;2019;48,47
De 16 a 19 años;Mujeres;2018;49,76
De 16 a 19 años;Mujeres;2017;55,12
De 16 a 19 años;Mujeres;2016;61,64
De 16 a 19 años;Mujeres;2015;70,71
De 16 a 19 años;Mujeres;2014;72,18
De 16 a 19 años;Mujeres;2013;76,26
De 16 a 19 años;Mujeres;2012;73,21
De 16 a 19 años;Mujeres;2011;63,5
De 16 a 19 años;Mujeres;2010;62,89
De 16 a 19 años;Mujeres;2009;55,94
De 16 a 19 años;Mujeres;2008;44,4
De 16 a 19 años;Mujeres;2007;35,92
De 16 a 19 años;Mujeres;2006;36,66
De 20 a 24 años;Ambos sexos;2021;31,55
De 20 a 24 años;Ambos sexos;2020;35,14
De 20 a 24 años;Ambos sexos;2019;29,77
De 20 a 24 años;Ambos sexos;2018;31,03
De 20 a 24 años;Ambos sexos;2017;35,22
